variant,active_families,n_prompts,fallback_seed0_prompts,csr_all,csr_obj,csr_attr,csr_rel,csr_count,csr_text
Full SC-Select,csr_obj+csr_attr+csr_rel+csr_count+csr_text,300,0,0.5121785714285715,0.699734126984127,0.49,0.05333333333333334,0.065,0.89
w/o objects,csr_attr+csr_rel+csr_count+csr_text,300,50,0.4390277777777778,0.5680833333333334,0.49666666666666665,0.05333333333333334,0.065,0.89
w/o attributes,csr_obj+csr_rel+csr_count+csr_text,300,0,0.5040119047619047,0.702234126984127,0.42,0.05333333333333334,0.065,0.89
w/o relations,csr_obj+csr_attr+csr_count+csr_text,300,0,0.5066785714285714,0.6989007936507936,0.485,0.02666666666666667,0.065,0.9
w/o counts,csr_obj+csr_attr+csr_rel+csr_text,300,0,0.5090119047619047,0.7014007936507937,0.49,0.05333333333333334,0.025,0.9
w/o text,csr_obj+csr_attr+csr_rel+csr_count,300,0,0.49428968253968253,0.7164007936507937,0.515,0.05333333333333334,0.085,0.59
objects only,csr_obj,300,0,0.4777896825396825,0.7214007936507937,0.45,0.03333333333333333,0.025,0.61
attributes only,csr_attr,300,200,0.4103611111111111,0.5680833333333334,0.5266666666666666,0.02666666666666667,0.01,0.69
relations only,csr_rel,300,150,0.3888611111111111,0.5405833333333334,0.36166666666666664,0.05333333333333334,0.01,0.68
counts only,csr_count,300,200,0.39402777777777775,0.5464166666666667,0.3516666666666666,0.02666666666666667,0.085,0.67
text only,csr_text,300,200,0.39969444444444446,0.5380833333333334,0.36666666666666664,0.02,0.01,0.91
