dataset,method,n,csr_all,clipscore,image_reward,pickscore,hpsv2
self300_sdxl,fixed_seed0,300,0.38186111111111115,35.456157207489014,-1.3275768369265522,22.7706817817688,0.2989607747395833
self300_sdxl,clipscore_select,300,0.37790079365079365,38.20272810618083,-1.4027191261512537,22.910716902414958,0.3020263671875
self300_sdxl,image_reward_select,300,0.36859920634920634,35.90612927118937,-1.1757207173621282,22.8520698483785,0.3004427083333333
self300_sdxl,pickscore_select,300,0.36946031746031743,36.786428140004475,-1.3372025644111758,23.336174379984538,0.3052286783854167
self300_sdxl,hpsv2_select,300,0.3808055555555555,36.861588923136395,-1.35594812453414,23.175258566538492,0.30770426432291664
self300_sdxl,csr_select,300,0.5121785714285715,36.05033863067627,-1.3857516705260302,22.79153210322062,0.30052083333333335
flux60,fixed_seed0,60,0.5852777777777778,35.22181466420491,1.3336353869487843,23.321433035532632,0.3087239583333333
flux60,clipscore_select,60,0.5602777777777778,37.742685572306314,1.504838905731837,23.327931022644044,0.3106892903645833
flux60,image_reward_select,60,0.5725,36.06779959996541,1.7113855436444283,23.441758982340495,0.3127522786458333
flux60,pickscore_select,60,0.5641666666666667,35.87807242075602,1.4827113110572099,23.78328994115194,0.3139119466145833
flux60,hpsv2_select,60,0.59,36.02947228749593,1.5264634149769942,23.597227382659913,0.3166422526041667
flux60,csr_select,60,0.6666666666666666,35.69433043797811,1.4425091316302618,23.32242660522461,0.3094401041666667
t2i_sdxl60,fixed_seed0,60,0.38333333333333336,32.86204792658488,0.7476981520963212,22.160097312927245,0.286602783203125
t2i_sdxl60,clipscore_select,60,0.43333333333333335,33.99801597595215,0.9834532704204321,22.344932651519777,0.28895670572916665
t2i_sdxl60,image_reward_select,60,0.4375,32.981491820017496,1.3659486374507348,22.626656913757323,0.29246826171875
t2i_sdxl60,pickscore_select,60,0.3875,32.87480230331421,1.008544634313633,22.833613236745197,0.29324544270833336
t2i_sdxl60,hpsv2_select,60,0.42083333333333334,32.75750519434611,1.0872965816194968,22.665005842844646,0.29556477864583336
t2i_sdxl60,csr_select,60,0.5625,32.87457596460978,0.8574711795585851,22.28602860768636,0.287493896484375
